Company,Region,Vertical,Funding Amount (USD),Funding Stage,Funding Date
Prodsight,United Kingdom,Artificial Intelligence,529013,Seed,Jan-20
Float,United Kingdom,B2B Software,1955982,Seed,Jan-20
Griffin,United Kingdom,FinTech,3904358,Seed,Jan-20
Coda Platform,United Kingdom,Gaming,4000000,Seed,Jan-20
Teller,United Kingdom,FinTech,4000000,Seed,Jan-20
Juro,United Kingdom,B2B Software,5000000,Series A,Jan-20
Pando,United Kingdom,Health Care,5000000,Seed,Jan-20
Upgrade Pack,United Kingdom,Travel,6511001,Seed,Jan-20
Shipamax,United Kingdom,Logistics,7000000,Series A,Jan-20
Yumpingo,United Kingdom,B2B Software,10000000,Series A,Jan-20
Codility,United Kingdom,Recruiting,22000000,Series A,Jan-20
DeepCrawl,United Kingdom,Marketing,19000000,Series B,Mar-20
Argent,United Kingdom,Blockchain,12000000,Series A,Mar-20
Arweave,United Kingdom,Blockchain,8300000,Seed,Mar-20
VoxSmart,United Kingdom,B2B Software,6600000,Series B,Mar-20
Billon,United Kingdom,Blockchain,6000000,Series A,Mar-20
Lingumi,United Kingdom,Education,4900000,Series A,Mar-20
Payhawk,United Kingdom,B2B Software,3300000,Seed,Mar-20
Nourish3d,United Kingdom,Personal Health,2500000,Seed,Mar-20
Emma,United Kingdom,FinTech,2500000,Seed,Mar-20
3D LifePrints,United Kingdom,3D Technology,1300000,Series A,Mar-20
Sonrai Analytics,United Kingdom,B2B Software,900000,Seed,Mar-20
Skyports,United Kingdom,Drones,850000,Series A,Mar-20
Ably Realtime,United Kingdom,Cloud Computing,7000000,Series A,Apr-20
Yapily,United Kingdom,FinTech,13000000,Series A,Apr-20
ContentCal,United Kingdom,B2B Software,185000,Seed,Apr-20
Glassbox,United Kingdom,Cloud Computing,40000000,Series C,Apr-20
Gousto,United Kingdom,Food and Beverage,41000000,Series G,Apr-20
Onfido,United Kingdom,Identity Management,100000000,Series D,Apr-20
Blueprint,United Kingdom,B2B Software,1000000,Seed,Apr-20
Moshi,United Kingdom,Education,12000000,Series B,Apr-20
Peak,United Kingdom,Artificial Intelligence,12000000,Series A,Apr-20
AMPLYFI,United Kingdom,Artificial Intelligence,5000000,Series A,Apr-20
Lifebit,United Kingdom,Artificial Intelligence,8000000,Series A,Apr-20
DevicePilot,United Kingdom,Analytics,2000000,Seed,May-20
Rotageek,United Kingdom,Artificial Intelligence,7000000,Unknown,May-20
Decibel,United Kingdom,Artificial Intelligence,40000000,Series B,May-20
Poplar,United Kingdom,Augmented Reality,2000000,Seed,May-20
New Vector,United Kingdom,B2B Software,5000000,Series A,May-20
Modulr,United Kingdom,Finance,23000000,Unknown,May-20
Banked,United Kingdom,FinTech,3000000,Seed,May-20
Primer,United Kingdom,FinTech,4000000,Seed,May-20
Starling Bank,United Kingdom,FinTech,49000000,Unknown,May-20
Featurespace,United Kingdom,Fraud Detection,37000000,Unknown,May-20
Quantum Motion Technologies,United Kingdom,Quantum Computing,10000000,Series A,May-20
Fly Now Pay Later,United Kingdom,Travel,42000000,Series A,May-20
Beacon,United Kingdom,Logistics,15000000,Series A,Jun-20
Verne Global,United Kingdom,Artificial Intelligence,27000000,Unknown,Jun-20
euNetworks Group,United Kingdom,Telecommunications,281703154,Unknown,Jun-20
Celsius Network,United Kingdom,Blockchain,15000000,ICO,Jun-20
Codat,United Kingdom,FinTech,10000000,Series A,Jun-20
Monzo,United Kingdom,FinTech,75935717,Series G,Jun-20
Admix,United Kingdom,Advertising,7000000,Series A,Jun-20
Realife Tech,United Kingdom,Events,7200000,Series A,Jun-20
Checkout.com,United Kingdom,FinTech,150000000,Series B,Jun-20
Propoly,United Kingdom,Real Estate,2750130,Series A,Jun-20
Privitar,United Kingdom,Cyber Security,7000000,Series C,Jun-20
NextRetreat,United Kingdom,Travel,600000,Seed,Jun-20
Hopin,United Kingdom,B2B Software,40000000,Series A,Jun-20
Tempo,United Kingdom,Recruiting,6160169,Series A,Jun-20
Machine Labs,United Kingdom,B2B Software,1000000,Seed,Jul-20
Northflank,United Kingdom,B2B Software,3000000,Seed,Jul-20
QuestDB,United Kingdom,B2B Software,2000000,Seed,Jul-20
Polkadot,United Kingdom,Blockchain,44000000,Initial Coin Offering,Jul-20
Radix,United Kingdom,Blockchain,4000000,Unknown,Jul-20
B2C2,United Kingdom,Blockchain,30000000,Unknown,Jul-20
Boundary,United Kingdom,Consumer,2000000,Seed,Jul-20
Farewill,United Kingdom,Consumer,25000000,Unknown,Jul-20
Thought Machine,United Kingdom,FinTech,42000000,Series B,Jul-20
Revolut,United Kingdom,FinTech,80000000,Series D,Jul-20
Moneybox,United Kingdom,FinTech,38000000,Series C,Jul-20
Lanistar,United Kingdom,FinTech,19000000,Unknown,Jul-20
Ravelin,United Kingdom,FinTech,21000000,Series C,Jul-20
Wagestream,United Kingdom,FinTech,23000000,Series B,Jul-20
Karma Kitchen,United Kingdom,Food and Beverage,316000000,Series A,Jul-20
Spotta,United Kingdom,Hospitality,1000000,Seed,Jul-20
FitXR,United Kingdom,Virtual Reality,6000000,Series A,Jul-20
Thirdfort,United Kingdom,B2B Software,1315067,Seed,Aug-20
Civo,United Kingdom,Developer Tools,328766,Seed,Aug-20
TaxScouts,United Kingdom,FinTech,6542438,Series A,Aug-20
BR-DGE,United Kingdom,FinTech,3292770,Seed,Aug-20
Hammock,United Kingdom,FinTech,1310779,Seed,Aug-20
Omnipresent,United Kingdom,Human Resources,2000000,Seed,Aug-20
The Insights People,United Kingdom,Market Research,648501,Angel,Aug-20
Gravity Sketch,United Kingdom,3D Technology,3700000,Seed,Sep-20
PSYKHE,United Kingdom,Artificial Intelligence,1700000,Seed,Sep-20
Programmai,United Kingdom,B2B Software,1092147,Seed,Sep-20
InfoSum,United Kingdom,B2B Software,15100000,Series A,Sep-20
Lokalise,United Kingdom,B2B Software,6000000,Series A,Sep-20
